id,difficulty,question,answer,reference
382,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
383,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
384,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
385,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
386,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
387,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
388,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
389,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
390,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
391,Easy,Who was the first man created by God?,Adam,Genesis 2:7
392,Easy,What did God create on the first day?,Light,Genesis 1:3
393,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
394,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
395,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
396,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
397,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
398,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
399,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
400,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
401,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
402,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
403,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
404,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
405,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
406,Easy,Who was the first man created by God?,Adam,Genesis 2:7
407,Easy,What did God create on the first day?,Light,Genesis 1:3
408,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
409,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
410,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
411,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
412,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
413,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
414,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
415,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
416,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
417,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
418,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
419,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
420,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
421,Easy,Who was the first man created by God?,Adam,Genesis 2:7
422,Easy,What did God create on the first day?,Light,Genesis 1:3
423,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
424,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
425,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
426,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
427,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
428,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
429,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
430,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
431,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
432,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
433,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
434,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
435,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
436,Easy,Who was the first man created by God?,Adam,Genesis 2:7
437,Easy,What did God create on the first day?,Light,Genesis 1:3
438,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
439,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
440,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
441,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
442,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
443,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
444,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
445,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
446,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
447,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
448,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
449,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
450,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
451,Easy,Who was the first man created by God?,Adam,Genesis 2:7
452,Easy,What did God create on the first day?,Light,Genesis 1:3
453,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
454,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
455,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
456,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
457,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
458,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
459,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
460,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
461,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
462,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
463,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
464,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
465,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
466,Easy,Who was the first man created by God?,Adam,Genesis 2:7
467,Easy,What did God create on the first day?,Light,Genesis 1:3
468,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
469,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
470,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
471,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
472,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
473,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
474,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
475,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
476,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
477,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
478,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
479,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
480,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
481,Easy,Who was the first man created by God?,Adam,Genesis 2:7
482,Easy,What did God create on the first day?,Light,Genesis 1:3
483,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
484,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
485,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
486,Medium,Who interpreted Pharaoh’s dreams about the famine?,Joseph,Genesis 41:15-16
487,Medium,What sea did Moses and the Israelites cross?,Red Sea,Exodus 14:21
488,Medium,Who led the Israelites into the Promised Land?,Joshua,Joshua 1:1-2
489,Medium,What food did God provide in the desert?,Manna,Exodus 16:15
490,Medium,Which woman became queen and saved her people?,Esther,Esther 4:14
491,Hard,Who was the left-handed judge who killed King Eglon?,Ehud,Judges 3:15-21
492,Hard,What prophet saw a vision of a valley of dry bones?,Ezekiel,Ezekiel 37:1-10
493,Hard,Who was the prophet taken to heaven in a whirlwind?,Elijah,2 Kings 2:11
494,Hard,Which apostle survived a snake bite on Malta?,Paul,Acts 28:3-6
495,Hard,Who was the high priest when Samuel was a boy?,Eli,1 Samuel 1:9
496,Easy,Who was the first man created by God?,Adam,Genesis 2:7
497,Easy,What did God create on the first day?,Light,Genesis 1:3
498,Easy,Who built an ark to survive the flood?,Noah,Genesis 6:14
499,Easy,What was the name of Abraham’s son?,Isaac,Genesis 21:3
500,Easy,What sign did God give after the flood?,Rainbow,Genesis 9:13
